"","driverId","constructorId","grid","position","laps","milliseconds","rank","maxSpeed"
"1",1,1,1,1,58,5690616,2,218.3
"2",2,2,5,2,58,5696094,3,217.586
"3",3,3,7,3,58,5698779,5,216.719
"4",4,4,11,4,58,5707797,7,215.464
"5",5,1,3,5,58,5708630,1,218.385
"23",8,6,2,1,56,5478555,2,209.158
"24",9,2,4,2,56,5498125,6,208.033
"25",5,1,8,3,56,5517005,7,208.031
"26",15,7,3,4,56,5524387,8,207.715
"27",1,1,9,5,56,5525103,3,209.033
"28",2,2,5,6,56,5528388,1,209.244
"29",17,9,6,7,56,5546685,12,206.366
"30",4,4,7,8,56,5548596,10,207.24
"31",14,9,12,9,56,5554775,9,207.417
"32",18,11,11,10,56,5564769,4,208.481
"33",12,4,13,11,56,5570757,15,205.812
"45",13,6,2,1,57,5466970,3,208.153
"46",8,6,4,2,57,5470309,4,207.911
"47",9,2,1,3,57,5471968,5,207.765
"48",2,2,6,4,57,5475379,2,208.231
"49",5,1,5,5,57,5493759,1,209.062
"50",15,7,7,6,57,5508284,7,206.819
"51",17,9,11,7,57,5512443,8,206.597
"52",3,3,8,8,57,5522859,6,207.109
"53",10,7,13,9,57,5536470,9,205.503
"54",4,4,10,10,57,5544151,13,204.668
"55",22,11,12,11,57,5544832,10,205.399
"67",8,6,1,1,66,5899051,1,205.191
"68",13,6,3,2,66,5902279,2,204.863
"69",1,1,5,3,66,5903238,3,204.323
"70",9,2,4,4,66,5904745,4,204.102
"71",17,9,7,5,66,5934989,8,202.969
"72",18,11,13,6,66,5952061,5,203.489
"73",6,3,12,7,66,5957295,15,200.576
"74",15,7,8,8,66,5958486,10,202.494
"75",2,2,9,9,66,5962124,7,203.08
"89",13,6,1,1,58,5209451,3,221.734
"90",1,1,3,2,58,5213230,2,222.085
"91",8,6,4,3,58,5213722,1,222.144
"92",9,2,5,4,58,5231396,4,221.442
"93",2,2,9,5,58,5248192,5,220.328
"94",4,4,7,6,58,5263175,6,220.174
"95",17,9,6,7,58,5273680,7,219.294
"96",3,3,11,8,58,5280857,9,218.882
"97",14,9,10,9,58,5284721,12,218.457
"98",15,7,8,10,58,5285795,11,218.556
"109",1,1,3,1,76,7242742,6,153.152
"110",9,2,5,2,76,7245806,5,154.286
"111",13,6,1,3,76,7247553,4,154.379
"112",17,9,9,4,76,7262037,8,152.133
"113",20,5,19,5,76,7267399,7,152.614
"114",22,11,14,6,76,7271150,9,151.104
"115",6,3,13,7,76,7272922,13,150.469
"116",5,1,4,8,76,7275933,2,155.586
"117",8,6,2,9,76,7276534,1,156.789
"129",9,2,2,1,70,5784227,4,202.473
"130",2,2,8,2,70,5800722,2,202.758
"131",14,9,13,3,70,5807579,7,201.057
"132",10,7,11,4,70,5826854,17,198.51
"133",13,6,6,5,70,5828161,6,201.261
"134",15,7,14,6,70,5832002,15,199.056
"135",22,11,9,7,70,5837824,10,200.503
"136",20,5,19,8,70,5838347,12,199.913
"137",5,1,7,9,70,5838660,11,200.091
"138",3,3,5,10,70,5838976,5,201.336
"139",18,11,20,11,70,5851767,19,197.847
"140",17,9,10,12,70,5855526,8,200.759
"149",13,6,2,1,70,5510245,2,206.956
"150",8,6,1,2,70,5528229,1,207.224
"151",15,7,4,3,70,5538495,7,204.721
"152",5,1,10,4,70,5539174,3,205.87
"153",9,2,5,5,70,5540757,4,205.768
"154",17,9,6,6,70,5550549,6,204.879
"155",12,4,9,7,70,5551278,10,204.218
"156",4,4,3,8,70,5553617,8,204.525
"157",14,9,7,9,70,5561266,12,204.06
"158",1,1,13,10,70,5564783,5,205.022
"159",10,7,8,11,70,5567945,13,204.013
"160",20,5,12,12,70,5568310,11,204.212
"161",2,2,11,13,70,5572324,9,204.328
"169",1,1,4,1,60,5949440,3,199.398
"170",2,2,5,2,60,6018017,2,199.609
"171",22,11,16,3,60,6031713,11,198.183
"189",1,1,1,1,67,5480874,2,216.552
"190",12,4,17,2,67,5486460,9,214.099
"191",13,6,2,3,67,5490213,5,215.241
"192",2,2,12,4,67,5490699,1,216.7
"193",5,1,3,5,67,5493285,4,215.261
"194",8,6,6,6,67,5495277,3,215.692
"195",9,2,7,7,67,5503556,6,214.937
"196",20,5,9,8,67,5514173,8,214.484
"197",15,7,4,9,67,5518032,12,213.785
"198",3,3,13,10,67,5518499,15,212.799
"199",4,4,5,11,67,5519474,13,213.53
"200",7,5,15,12,67,5519985,10,213.935
"201",14,9,10,13,67,5535845,11,213.866
"202",6,3,16,14,67,5540877,17,211.947
"203",16,10,19,15,67,5550362,18,211.408
"204",21,10,20,16,67,5564967,20,210.546
"209",5,1,2,1,70,5847067,7,192.917
"210",10,7,5,2,70,5858128,6,193.111
