"","driverId","constructorId","grid","position","laps","milliseconds","rank","fastestLapSpeed"
"1",1,1,1,"1",58,"5690616","2","218.300"
"2",2,2,5,"2",58,"5696094","3","217.586"
"3",3,3,7,"3",58,"5698779","5","216.719"
"4",4,4,11,"4",58,"5707797","7","215.464"
"5",5,1,3,"5",58,"5708630","1","218.385"
"6",6,3,13,"6",57,"\N","14","212.974"
"7",7,5,17,"7",55,"\N","12","213.224"
"8",8,6,15,"8",53,"\N","4","217.180"
"9",9,2,2,"\N",47,"\N","9","215.100"
"10",10,7,18,"\N",43,"\N","13","213.166"
"11",11,8,19,"\N",32,"\N","15","210.038"
"12",12,4,20,"\N",30,"\N","16","208.907"
"13",13,6,4,"\N",29,"\N","6","216.510"
"14",14,9,8,"\N",25,"\N","11","213.300"
"15",15,7,6,"\N",19,"\N","10","213.758"
"16",16,10,22,"\N",8,"\N","17","207.461"
"17",17,9,14,"\N",0,"\N","\N","\N"
"18",18,11,12,"\N",0,"\N","\N","\N"
"19",19,8,21,"\N",0,"\N","\N","\N"
"20",20,5,9,"\N",0,"\N","\N","\N"
"21",21,10,16,"\N",0,"\N","\N","\N"
"22",22,11,10,"\N",58,"\N","8","215.141"
"23",8,6,2,"1",56,"5478555","2","209.158"
"24",9,2,4,"2",56,"5498125","6","208.033"
"25",5,1,8,"3",56,"5517005","7","208.031"
"26",15,7,3,"4",56,"5524387","8","207.715"
"27",1,1,9,"5",56,"5525103","3","209.033"
"28",2,2,5,"6",56,"5528388","1","209.244"
"29",17,9,6,"7",56,"5546685","12","206.366"
"30",4,4,7,"8",56,"5548596","10","207.240"
"31",14,9,12,"9",56,"5554775","9","207.417"
"32",18,11,11,"10",56,"5564769","4","208.481"
"33",12,4,13,"11",56,"5570757","15","205.812"
"34",21,10,17,"12",55,"\N","16","205.800"
"35",22,11,14,"13",55,"\N","11","206.372"
"36",3,3,16,"14",55,"\N","13","206.182"
"37",19,8,21,"15",55,"\N","18","203.265"
"38",11,8,19,"16",54,"\N","19","202.578"
"39",6,3,22,"17",54,"\N","17","204.222"
"40",20,5,15,"\N",39,"\N","14","205.995"
"41",13,6,1,"\N",30,"\N","5","208.048"
"42",16,10,20,"\N",5,"\N","20","198.891"
"43",10,7,10,"\N",1,"\N","\N","\N"
"44",7,5,18,"\N",0,"\N","\N","\N"
"45",13,6,2,"1",57,"5466970","3","208.153"
"46",8,6,4,"2",57,"5470309","4","207.911"
"47",9,2,1,"3",57,"5471968","5","207.765"
"48",2,2,6,"4",57,"5475379","2","208.231"
"49",5,1,5,"5",57,"5493759","1","209.062"
"50",15,7,7,"6",57,"5508284","7","206.819"
"51",17,9,11,"7",57,"5512443","8","206.597"
"52",3,3,8,"8",57,"5522859","6","207.109"
"53",10,7,13,"9",57,"5536470","9","205.503"
"54",4,4,10,"10",57,"5544151","13","204.668"
"55",22,11,12,"11",57,"5544832","10","205.399"
"56",21,10,18,"12",56,"\N","11","204.963"
"57",1,1,3,"13",56,"\N","19","203.969"
"58",6,3,16,"14",56,"\N","17","204.155"
"59",7,5,15,"15",56,"\N","15","204.369"
"60",19,8,21,"16",56,"\N","14","204.389"
"61",11,8,22,"17",56,"\N","20","203.180"
"62",14,9,17,"18",56,"\N","16","204.331"
"63",16,10,20,"19",56,"\N","18","204.136"
